date,arrivals
2020-11-30,13102
2020-12-01,12591
2020-12-02,12761
2020-12-03,13127
2020-12-04,13020
2020-12-05,12843
2020-12-06,12771
2020-12-07,13099
2020-12-08,13024
2020-12-09,12835
2020-12-10,12997
2020-12-11,13059
2020-12-12,12630
2020-12-13,12724
2020-12-14,13265
2020-12-15,12957
2020-12-16,12672
2020-12-17,12505
2020-12-18,12819
2020-12-19,12490
2020-12-20,12324
2020-12-21,12768
2020-12-22,12454
2020-12-23,11913
2020-12-24,11342
2020-12-25,11698
2020-12-26,13020
2020-12-27,13274
2020-12-28,13490
2020-12-29,12872
2020-12-30,12889
2020-12-31,12649
2021-01-01,13743
2021-01-02,12847
2021-01-03,12826
2021-01-04,12828
2021-01-05,12225
2021-01-06,12301
2021-01-07,12541
2021-01-08,12154
2021-01-09,11904
2021-01-10,12110
2021-01-11,12367
2021-01-12,12293
2021-01-13,12255
2021-01-14,12275
2021-01-15,12319
2021-01-16,12360
2021-01-17,12186
2021-01-18,12702
2021-01-19,12690
2021-01-20,12767
2021-01-21,12835
2021-01-22,13124
2021-01-23,12587
2021-01-24,12084
2021-01-25,12869
2021-01-26,12695
2021-01-27,12588
2021-01-28,12709
2021-01-29,13089
2021-01-30,12280
2021-01-31,12375
2021-02-01,12762
2021-02-02,12790
2021-02-03,12628
2021-02-04,12426
2021-02-05,12643
2021-02-06,12152
2021-02-07,11687
2021-02-08,12748
2021-02-09,12262
2021-02-10,12344
2021-02-11,12214
2021-02-12,12275
2021-02-13,11778
2021-02-14,11420
2021-02-15,13276
2021-02-16,12908
2021-02-17,12949
2021-02-18,12703
2021-02-19,12921
2021-02-20,13005
2021-02-21,12712
2021-02-22,13121
2021-02-23,12694
2021-02-24,12609
2021-02-25,12558
2021-02-26,12697
2021-02-27,12381
2021-02-28,12024
2021-03-01,12501
2021-03-02,12142
2021-03-03,12241
2021-03-04,12327
2021-03-05,12462
2021-03-06,12382
2021-03-07,12000
2021-03-08,12972
2021-03-09,12658
2021-03-10,12726
2021-03-11,12859
2021-03-12,13198
2021-03-13,12891
2021-03-14,12359
2021-03-15,13622
2021-03-16,13471
2021-03-17,12972
2021-03-18,13252
2021-03-19,13214
2021-03-20,13151
2021-03-21,12950
2021-03-22,13633
2021-03-23,13017
2021-03-24,13205
2021-03-25,13183
2021-03-26,13378
2021-03-27,12913
2021-03-28,12603
2021-03-29,13706
2021-03-30,13404
2021-03-31,13915
2021-04-01,13289
2021-04-02,13374
2021-04-03,13185
2021-04-04,13109
2021-11-29,12233
2021-11-30,11901
2021-12-01,12145
2021-12-02,11878
2021-12-03,11847
2021-12-04,11980
2021-12-05,11919
2021-12-06,11902
2021-12-07,11914
2021-12-08,12080
2021-12-09,12139
2021-12-10,12117
2021-12-11,11882
2021-12-12,11922
2021-12-13,12236
2021-12-14,11945
2021-12-15,12032
2021-12-16,11764
2021-12-17,11568
2021-12-18,12116
2021-12-19,11890
2021-12-20,12321
2021-12-21,12164
2021-12-22,11843
2021-12-23,11954
2021-12-24,11557
2021-12-25,11264
2021-12-26,11906
2021-12-27,12699
2021-12-28,12180
2021-12-29,11784
2021-12-30,11595
2021-12-31,11474
2022-01-01,12455
2022-01-02,11456
2022-01-03,12029
2022-01-04,11386
2022-01-05,11334
2022-01-06,11457
2022-01-07,11668
2022-01-08,11616
2022-01-09,11645
2022-01-10,11761
2022-01-11,11679
2022-01-12,11829
2022-01-13,11712
2022-01-14,12229
2022-01-15,12095
2022-01-16,12187
2022-01-17,12274
2022-01-18,12087
2022-01-19,12261
2022-01-20,12132
2022-01-21,12321
2022-01-22,12077
2022-01-23,12315
2022-01-24,12529
2022-01-25,12155
2022-01-26,12332
2022-01-27,12479
2022-01-28,12179
2022-01-29,12142
2022-01-30,12183
2022-01-31,12439
2022-02-01,11797
2022-02-02,12151
2022-02-03,12335
2022-02-04,12153
2022-02-05,12064
2022-02-06,12103
2022-02-07,12414
2022-02-08,12015
2022-02-09,12067
2022-02-10,12313
2022-02-11,12169
2022-02-12,12202
2022-02-13,12333
2022-02-14,12020
2022-02-15,11991
2022-02-16,12149
2022-02-17,11874
2022-02-18,12221
2022-02-19,12187
2022-02-20,12142
2022-02-21,12214
2022-02-22,12127
2022-02-23,11932
2022-02-24,12054
2022-02-25,12142
2022-02-26,12160
2022-02-27,12343
2022-02-28,12248
2022-03-01,11818
2022-03-02,11864
2022-03-03,12004
2022-03-04,11883
2022-03-05,12056
2022-03-06,11923
2022-03-07,12153
2022-03-08,12170
2022-03-09,12150
2022-03-10,12013
2022-03-11,11867
2022-03-12,11898
2022-03-13,11778
2022-03-14,11860
2022-03-15,11506
2022-03-16,11730
2022-03-17,11824
2022-03-18,11882
2022-03-19,11532
2022-03-20,11504
2022-03-21,11871
2022-03-22,11661
2022-03-23,11391
2022-03-24,11585
2022-03-25,11426
2022-03-26,11170
2022-03-27,10484
2022-03-28,11394
2022-03-29,11235
2022-03-30,11585
2022-03-31,11593
2022-04-01,11299
2022-04-02,11225
2022-04-03,11217
